datastay,category,phq_attendance,duration,local_rank
2021-01-26,conferences,400,32400,49
2021-04-18,community,369,36000,47
2021-04-18,sports,4000,0,73
2021-04-25,sports,8000,0,80
2021-05-15,sports,21000,0,88
2021-05-17,performing-arts,1000,0,58
2021-05-17,conferences,500,117000,51
2021-05-17,performing-arts,742,0,55
2021-05-17,performing-arts,666,0,54
2021-05-17,community,350,0,48
2021-05-17,performing-arts,843,0,56
2021-05-17,performing-arts,1000,0,62
2021-05-18,sports,7195,0,73
2021-05-18,performing-arts,666,0,54
2021-05-18,performing-arts,387,0,49
2021-05-18,concerts,350,0,48
2021-05-18,performing-arts,904,0,56
2021-05-18,conferences,500,32400,51
2021-05-18,concerts,5544,0,73
2021-05-18,performing-arts,843,0,56
2021-05-18,conferences,1000,118800,57
2021-05-18,conferences,500,118800,51
2021-05-18,performing-arts,467,0,51
2021-05-18,conferences,500,118800,52
2021-05-18,performing-arts,742,0,55
2021-05-19,conferences,500,32400,51
2021-05-19,conferences,500,32400,52
2021-05-19,performing-arts,535,0,52
2021-05-19,performing-arts,432,0,50
2021-05-19,performing-arts,1000,0,58
2021-05-19,performing-arts,666,0,54
2021-05-19,performing-arts,387,0,49
2021-05-19,performing-arts,1000,0,57
2021-05-19,performing-arts,742,0,55
2021-05-19,community,350,0,48
2021-05-19,performing-arts,1000,0,56
2021-05-19,expos,11000,86399,77
2021-05-19,performing-arts,467,0,51
2021-05-19,performing-arts,732,0,54
2021-05-20,performing-arts,647,0,53
2021-05-20,performing-arts,843,0,56
2021-05-20,performing-arts,1000,0,56
2021-05-20,conferences,400,33300,48
2021-05-20,performing-arts,904,0,56
2021-05-20,performing-arts,432,0,50
2021-05-20,performing-arts,387,0,49
2021-05-20,performing-arts,535,0,52
2021-05-20,performing-arts,666,0,54
2021-05-20,community,350,0,48
2021-05-20,conferences,500,36000,51
2021-05-20,conferences,500,32400,51
2021-05-21,performing-arts,387,0,49
2021-05-21,concerts,1050,21600,56
2021-05-21,community,700,100800,52
2021-05-21,concerts,2286,0,64
2021-05-21,concerts,1400,0,60
2021-05-21,performing-arts,1000,0,56
2021-05-21,concerts,400,0,48
2021-05-21,community,350,0,48
2021-05-21,community,350,14400,47
2021-05-21,performing-arts,432,0,50
2021-05-21,community,350,0,48
2021-05-21,performing-arts,732,0,54
2021-05-21,expos,500,21600,51
2021-05-21,performing-arts,647,0,53
2021-05-21,concerts,1000,28800,55
2021-05-21,community,350,0,48
2021-05-21,conferences,500,32400,51
2021-05-21,concerts,500,10800,49
2021-05-21,performing-arts,467,0,51
2021-05-21,performing-arts,666,0,54
2021-05-21,performing-arts,535,0,52
2021-05-21,concerts,800,0,54
2021-05-22,concerts,500,5400,51
2021-05-22,concerts,1400,0,60
2021-05-22,performing-arts,843,0,56
2021-05-22,sports,6000,0,77
2021-05-22,performing-arts,1000,0,56
2021-05-22,concerts,2286,0,64
2021-05-22,concerts,400,0,48
2021-05-22,performing-arts,432,0,50
2021-05-22,performing-arts,742,0,55
2021-05-22,performing-arts,647,0,53
2021-05-22,community,1000,43200,55
2021-05-22,performing-arts,1000,0,57
2021-05-22,performing-arts,732,0,54
2021-05-22,community,375,0,47
2021-05-22,sports,3830,0,74
2021-05-22,community,350,30600,47
2021-05-22,performing-arts,904,0,56
2021-05-22,community,400,25200,48
2021-05-22,concerts,500,0,50
2021-05-22,performing-arts,422,0,50
2021-05-22,community,1000,0,56
2021-05-22,performing-arts,387,0,49
2021-05-22,performing-arts,467,0,51
2021-05-22,performing-arts,480,0,51
2021-05-22,performing-arts,666,0,54
2021-05-22,community,350,0,48
2021-05-22,community,350,0,48
2021-05-22,performing-arts,696,0,54
2021-05-22,performing-arts,535,0,52
2021-05-23,performing-arts,732,0,54
2021-05-23,concerts,1789,0,61
2021-05-23,concerts,500,0,50
2021-05-23,community,350,25200,47
2021-05-23,performing-arts,1000,0,57
2021-05-23,concerts,1600,36000,61
2021-05-23,concerts,350,0,48
2021-05-23,concerts,1400,0,60
2021-05-23,performing-arts,432,0,50
2021-05-23,performing-arts,1000,0,58
2021-05-23,concerts,400,21600,48
2021-05-23,performing-arts,467,0,51
2021-05-23,performing-arts,422,0,50
2021-05-23,performing-arts,535,0,52
2021-05-23,community,350,0,48
2021-05-23,performing-arts,647,0,53
2021-05-24,performing-arts,433,0,50
2021-05-24,conferences,1000,32400,58
2021-05-24,performing-arts,480,0,51
2021-05-24,performing-arts,666,0,54
2021-05-24,concerts,1789,0,61
2021-05-24,performing-arts,348,0,48
2021-05-24,community,350,0,48
2021-05-24,community,400,0,49
2021-05-25,performing-arts,696,0,54
2021-05-25,performing-arts,647,0,53
2021-05-25,performing-arts,1000,0,57
2021-05-25,performing-arts,433,0,50
2021-05-25,performing-arts,480,0,51
2021-05-25,performing-arts,742,0,55
2021-05-25,community,350,0,48
2021-05-25,performing-arts,904,0,56
2021-05-25,performing-arts,387,0,49
2021-05-25,concerts,2000,0,63
2021-05-25,performing-arts,666,0,54
2021-05-26,performing-arts,647,0,53
2021-05-26,conferences,500,205200,51
2021-05-26,performing-arts,1000,0,57
2021-05-26,concerts,1400,0,60
2021-05-26,performing-arts,1000,0,57
2021-05-26,community,1000,0,56
2021-05-26,performing-arts,732,0,54
2021-05-26,performing-arts,1000,0,57
2021-05-26,performing-arts,432,0,50
2021-05-26,performing-arts,1000,0,58
2021-05-26,performing-arts,666,0,54
2021-05-26,community,350,0,48
2021-05-26,performing-arts,535,0,52
2021-05-26,performing-arts,843,0,56
2021-05-26,performing-arts,387,0,49
2021-05-26,performing-arts,696,0,54
2021-05-26,performing-arts,1000,0,57
2021-05-26,performing-arts,480,0,51
2021-05-26,performing-arts,1000,0,57
2021-05-27,concerts,2350,0,64
2021-05-27,performing-arts,467,0,51
2021-05-27,performing-arts,666,0,54
2021-05-27,concerts,1400,0,60
2021-05-27,performing-arts,732,0,54
2021-05-27,performing-arts,535,0,52
2021-05-27,performing-arts,1000,0,57
2021-05-27,performing-arts,904,0,56
2021-05-27,concerts,800,0,54
2021-05-27,performing-arts,1000,0,56
2021-05-27,performing-arts,742,0,55
2021-05-27,community,450,2700,51
2021-05-27,performing-arts,387,0,49
2021-05-27,conferences,500,205200,51
2021-05-27,performing-arts,422,0,50
2021-05-27,performing-arts,432,0,50
2021-05-27,performing-arts,647,0,53
2021-05-27,performing-arts,480,0,51
2021-05-28,performing-arts,666,0,54
2021-05-28,performing-arts,535,0,52
2021-05-28,performing-arts,647,0,53
2021-05-28,performing-arts,387,0,49
2021-05-28,performing-arts,732,0,54
2021-05-28,performing-arts,1000,0,57
2021-05-28,concerts,400,0,48
2021-05-28,concerts,400,0,48
2021-05-28,concerts,2000,0,63
2021-05-28,concerts,1400,0,60
2021-05-28,community,350,14400,47
2021-05-28,performing-arts,1000,0,57
2021-05-28,community,1000,0,57
2021-05-28,concerts,1000,28800,55
2021-05-28,concerts,1789,0,61
2021-05-28,concerts,5544,0,73
2021-05-28,performing-arts,422,0,50
2021-05-28,community,350,0,48
2021-05-28,performing-arts,376,9000,48
2021-05-28,concerts,950,7200,57
2021-05-28,conferences,1000,30300,57
2021-05-28,community,350,0,48
2021-05-28,performing-arts,432,0,50
2021-05-28,performing-arts,1000,0,58
2021-05-28,performing-arts,1000,0,57
2021-05-28,performing-arts,480,0,51
2021-05-28,concerts,10000,14400,80
2021-05-29,concerts,2000,0,63
2021-05-29,performing-arts,1000,0,56
2021-05-29,concerts,1400,0,60
2021-05-29,performing-arts,647,0,53
2021-05-29,performing-arts,843,0,56
2021-05-29,performing-arts,666,0,54
2021-05-29,concerts,1600,27000,61
2021-05-29,concerts,4921,0,69
2021-05-29,performing-arts,1000,0,57
2021-05-29,performing-arts,432,0,50
2021-05-29,concerts,10000,18000,80
2021-05-29,performing-arts,696,0,54
2021-05-29,performing-arts,422,0,50
2021-05-29,community,400,108000,48
2021-05-29,concerts,400,21600,48
2021-05-29,community,450,0,50
2021-05-29,performing-arts,732,0,54
2021-05-29,performing-arts,480,0,51
2021-05-29,concerts,350,0,48
2021-05-29,performing-arts,1000,0,56
2021-05-29,performing-arts,387,0,49
2021-05-29,performing-arts,742,0,55
2021-05-29,performing-arts,535,0,52
2021-05-29,community,1000,0,57
2021-05-29,community,375,0,47
2021-05-29,concerts,800,21600,55
2021-05-29,sports,11689,0,83
2021-05-29,performing-arts,467,0,51
2021-05-29,community,1000,0,57
2021-05-29,concerts,800,0,54
2021-05-29,community,350,30600,47
2021-05-29,concerts,350,0,48
2021-05-30,concerts,400,0,48
2021-05-30,performing-arts,732,0,54
2021-05-30,performing-arts,1000,0,56
2021-05-30,community,350,0,48
2021-05-30,concerts,2286,0,64
2021-05-30,performing-arts,535,0,52
2021-05-30,festivals,650,540000,52
2021-05-30,concerts,1050,14400,56
2021-05-30,concerts,4921,0,69
2021-05-30,concerts,1789,0,61
2021-05-30,sports,9751,0,81
2021-05-30,performing-arts,1000,0,57
2021-05-30,community,350,30600,47
2021-05-30,community,600,0,53
2021-05-30,community,680,0,53
2021-05-30,performing-arts,647,0,53
2021-05-30,performing-arts,432,0,50
2021-05-30,concerts,350,0,49
2021-05-30,performing-arts,467,0,51
2021-05-30,concerts,1050,32400,56
2021-05-30,community,1000,0,57
2021-05-30,community,1000,0,57
2021-05-30,performing-arts,422,0,50
2021-05-31,performing-arts,1000,0,58
2021-05-31,performing-arts,480,0,51
2021-05-31,concerts,1050,36000,56
2021-05-31,community,350,0,48
2021-05-31,performing-arts,843,0,56
2021-05-31,concerts,2350,0,64
2021-05-31,festivals,650,540000,52
2021-05-31,sports,9083,0,81
2021-05-31,performing-arts,742,0,55
2021-05-31,performing-arts,666,0,54
2021-05-31,concerts,5544,0,73
2021-06-01,performing-arts,666,0,54
2021-06-01,performing-arts,843,0,56
2021-06-01,performing-arts,467,0,51
2021-06-01,concerts,350,0,48
2021-06-01,performing-arts,1000,0,57
2021-06-01,performing-arts,387,0,49
2021-06-01,performing-arts,742,0,55
2021-06-01,performing-arts,647,0,53
2021-06-01,concerts,2286,0,64
2021-06-01,festivals,650,540000,52
2021-06-01,concerts,1800,0,62
2021-06-01,performing-arts,1000,0,58
2021-06-01,performing-arts,480,0,51
2021-06-01,conferences,500,118800,51
2021-06-02,performing-arts,535,0,52
2021-06-02,performing-arts,432,0,50
2021-06-02,performing-arts,647,0,53
2021-06-02,performing-arts,843,0,56
2021-06-02,performing-arts,1000,0,58
2021-06-02,performing-arts,467,0,51
2021-06-02,performing-arts,742,0,55
2021-06-02,concerts,680,0,53
2021-06-02,performing-arts,480,0,51
2021-06-02,concerts,1400,0,60
2021-06-02,performing-arts,1000,0,57
2021-06-02,concerts,2286,0,64
2021-06-02,performing-arts,433,0,50
2021-06-02,sports,7500,374761,74
2021-06-02,performing-arts,843,0,56
2021-06-02,performing-arts,666,0,54
2021-06-02,festivals,650,540000,52
2021-06-02,performing-arts,732,0,54
2021-06-02,performing-arts,387,0,49
2021-06-02,performing-arts,1000,0,57
2021-06-02,performing-arts,696,0,54
2021-06-03,performing-arts,535,0,52
2021-06-03,performing-arts,480,0,51
2021-06-03,concerts,600,0,51
2021-06-03,performing-arts,843,0,56
2021-06-03,community,1000,0,56
2021-06-03,performing-arts,843,0,56
2021-06-03,performing-arts,666,0,54
2021-06-03,performing-arts,696,0,54
2021-06-03,performing-arts,1000,0,57
2021-06-03,performing-arts,387,0,49
2021-06-03,performing-arts,647,0,53
2021-06-03,performing-arts,1000,0,58
2021-06-03,performing-arts,1000,0,57
2021-06-03,community,350,0,48
2021-06-03,performing-arts,432,0,50
2021-06-03,performing-arts,732,0,54
2021-06-03,sports,7500,374761,74
2021-06-03,performing-arts,742,0,55
2021-06-03,concerts,700,0,52
2021-06-03,festivals,650,540000,52
2021-06-03,performing-arts,467,0,51
2021-06-04,performing-arts,1000,0,58
2021-06-04,festivals,650,540000,52
2021-06-04,performing-arts,387,0,49
2021-06-04,performing-arts,732,0,54
2021-06-04,concerts,1000,28800,55
2021-06-04,sports,7500,374761,74
2021-06-04,performing-arts,742,0,55
2021-06-04,community,350,0,49
2021-06-04,performing-arts,843,0,56
2021-06-04,concerts,2286,0,64
2021-06-04,performing-arts,904,0,56
2021-06-04,performing-arts,666,0,54
2021-06-04,performing-arts,647,0,53
2021-06-04,performing-arts,843,0,56
2021-06-04,concerts,400,21600,48
2021-06-04,performing-arts,432,0,50
2021-06-04,concerts,1400,0,60
2021-06-04,community,350,0,48
2021-06-04,performing-arts,467,0,51
2021-06-04,concerts,680,0,53
2021-06-04,performing-arts,1000,0,57
2021-06-04,performing-arts,480,0,51
2021-06-04,community,350,14400,47
2021-06-04,performing-arts,535,0,52
2021-06-04,performing-arts,602,0,53
2021-06-05,community,350,0,48
2021-06-05,performing-arts,432,0,50
2021-06-05,performing-arts,1000,0,57
2021-06-05,sports,6500,22813,72
2021-06-05,concerts,1400,0,60
2021-06-05,performing-arts,732,0,54
2021-06-05,concerts,1000,32400,55
2021-06-05,performing-arts,666,0,54
2021-06-05,performing-arts,843,0,56
2021-06-05,performing-arts,843,0,56
2021-06-05,performing-arts,602,0,53
2021-06-05,concerts,500,0,49
2021-06-05,performing-arts,480,0,51
2021-06-05,concerts,700,19800,52
2021-06-05,community,700,100800,52
2021-06-05,concerts,2286,0,64
2021-06-05,performing-arts,535,0,52
2021-06-05,performing-arts,1000,0,58
2021-06-05,concerts,400,0,48
2021-06-05,performing-arts,467,0,51
2021-06-05,sports,7500,374761,74
2021-06-05,concerts,350,0,49
2021-06-05,community,400,21600,48
2021-06-05,performing-arts,742,0,55
2021-06-05,performing-arts,387,0,49
2021-06-05,community,350,30600,47
2021-06-05,concerts,400,21600,48
2021-06-05,performing-arts,1000,0,57
2021-06-05,performing-arts,647,0,53
2021-06-06,performing-arts,1000,0,57
2021-06-06,performing-arts,467,0,51
2021-06-06,community,350,0,49
2021-06-06,concerts,500,0,50
2021-06-06,concerts,1000,32400,55
2021-06-06,community,350,25200,47
2021-06-06,concerts,700,538200,52
2021-06-06,performing-arts,1000,0,57
2021-06-06,performing-arts,535,0,52
2021-06-06,performing-arts,422,0,50
2021-06-06,concerts,1400,0,60
2021-06-06,concerts,700,0,52
2021-06-06,community,350,0,48
2021-06-06,performing-arts,732,0,54
2021-06-06,performing-arts,432,0,50
2021-06-06,concerts,400,0,48
2021-06-06,performing-arts,843,0,56
2021-06-06,performing-arts,647,0,53
2021-06-06,performing-arts,422,0,50
2021-06-06,concerts,400,21600,48
2021-06-07,performing-arts,433,0,50
2021-06-07,performing-arts,480,0,51
2021-06-07,performing-arts,1000,0,58
2021-06-07,concerts,700,538200,52
2021-06-07,community,400,0,49
2021-06-07,community,350,0,48
2021-06-07,performing-arts,666,0,54
2021-06-07,performing-arts,421,0,50
2021-06-08,performing-arts,1000,0,57
2021-06-08,performing-arts,467,0,51
2021-06-08,performing-arts,1000,0,58
2021-06-08,performing-arts,843,0,56
2021-06-08,performing-arts,666,0,54
2021-06-08,performing-arts,421,0,50
2021-06-08,concerts,700,538200,52
2021-06-08,performing-arts,742,0,55
2021-06-08,performing-arts,696,0,54
2021-06-08,performing-arts,1000,0,57
2021-06-08,performing-arts,480,0,51
2021-06-08,performing-arts,355,0,48
2021-06-08,performing-arts,647,0,53
2021-06-08,performing-arts,387,0,49
2021-06-08,concerts,1100,0,58
2021-06-09,performing-arts,742,0,55
2021-06-09,performing-arts,432,0,50
2021-06-09,community,350,0,48
2021-06-09,concerts,1145,12600,58
2021-06-09,performing-arts,1000,0,58
2021-06-09,performing-arts,1000,0,57
2021-06-09,performing-arts,647,0,53
2021-06-09,concerts,700,538200,52
2021-06-09,conferences,500,205200,57
2021-06-09,performing-arts,1000,0,57
2021-06-09,performing-arts,1000,0,57
2021-06-09,performing-arts,467,0,51
2021-06-09,expos,1000,111600,56
2021-06-09,conferences,500,118800,51
2021-06-09,performing-arts,387,0,49
2021-06-09,performing-arts,355,0,48
2021-06-09,performing-arts,666,0,54
2021-06-09,performing-arts,355,0,48
2021-06-10,community,350,0,48
2021-06-10,performing-arts,432,0,50
2021-06-10,performing-arts,355,0,48
2021-06-10,conferences,500,32400,51
2021-06-10,performing-arts,742,0,55
2021-06-10,conferences,500,118800,49
2021-06-10,performing-arts,904,0,56
2021-06-10,sports,7500,11742,74
2021-06-10,concerts,700,538200,52
2021-06-10,performing-arts,647,0,53
2021-06-10,performing-arts,535,0,52
2021-06-10,performing-arts,843,0,56
2021-06-10,performing-arts,467,0,51
2021-06-10,conferences,500,205200,57
2021-06-10,performing-arts,387,0,49
2021-06-10,performing-arts,480,0,51
2021-06-10,performing-arts,1000,0,57
2021-06-10,concerts,700,0,52
2021-06-10,performing-arts,1000,0,58
2021-06-10,performing-arts,421,0,50
2021-06-10,performing-arts,1000,0,57
2021-06-10,performing-arts,1000,0,57
2021-06-10,performing-arts,666,0,54
2021-06-10,performing-arts,696,0,54
2021-06-11,performing-arts,666,0,54
2021-06-11,performing-arts,535,0,52
2021-06-11,concerts,500,9000,50
2021-06-11,performing-arts,602,0,53
2021-06-11,community,350,0,48
2021-06-11,performing-arts,432,0,50
2021-06-11,concerts,1000,28800,55
2021-06-11,community,350,14400,47
2021-06-11,community,1000,0,56
2021-06-11,conferences,500,205200,52
2021-06-11,performing-arts,1000,0,57
2021-06-11,performing-arts,467,0,51
2021-06-11,performing-arts,647,0,53
2021-06-11,performing-arts,387,0,49
2021-06-11,performing-arts,904,0,56
2021-06-11,performing-arts,742,0,55
2021-06-11,concerts,700,0,52
2021-06-11,performing-arts,355,0,48
2021-06-11,performing-arts,1000,0,58
2021-06-11,performing-arts,480,0,51
2021-06-11,concerts,700,538200,52
2021-06-11,performing-arts,1000,0,57
2021-06-11,community,350,0,49
2021-06-11,performing-arts,421,0,50
2021-06-12,concerts,400,21600,48
2021-06-12,performing-arts,843,0,56
2021-06-12,performing-arts,742,0,55
2021-06-12,performing-arts,647,0,53
2021-06-12,conferences,500,205200,52
2021-06-12,performing-arts,421,0,50
2021-06-12,performing-arts,1000,0,57
2021-06-12,concerts,400,0,48
2021-06-12,concerts,650,0,52
2021-06-12,performing-arts,1000,0,58
2021-06-12,performing-arts,535,0,52
2021-06-12,performing-arts,602,0,53
2021-06-12,performing-arts,666,0,54
2021-06-12,performing-arts,480,0,51
2021-06-12,performing-arts,904,0,56
2021-06-12,community,350,117000,47
2021-06-12,performing-arts,432,0,50
2021-06-12,concerts,350,0,49
2021-06-12,performing-arts,355,0,48
2021-06-12,performing-arts,467,0,51
2021-06-12,concerts,350,0,48
2021-06-12,expos,1000,550800,56
2021-06-12,performing-arts,387,0,49
2021-06-12,performing-arts,1000,0,57
2021-06-13,sports,22500,0,89
2021-06-13,community,350,0,49
2021-06-13,performing-arts,467,0,51
2021-06-13,performing-arts,432,0,50
2021-06-13,performing-arts,1000,0,57
2021-06-13,performing-arts,421,0,50
2021-06-13,community,1000,543600,56
2021-06-13,performing-arts,387,0,49
2021-06-13,community,350,25200,47
2021-06-13,concerts,500,0,50
2021-06-13,performing-arts,1000,0,57
2021-06-13,performing-arts,1000,0,57
2021-06-13,performing-arts,535,0,52
2021-06-13,performing-arts,647,0,53
2021-06-13,community,1000,0,56
2021-06-13,concerts,350,0,48
2021-06-13,expos,1000,550800,56
2021-06-14,performing-arts,843,0,56
2021-06-14,expos,1000,550800,56
2021-06-14,community,1000,543600,56
2021-06-14,performing-arts,742,0,55
2021-06-14,performing-arts,666,0,54
2021-06-14,performing-arts,904,0,56
2021-06-14,performing-arts,1000,0,58
2021-06-14,sports,6500,9871,72
2021-06-14,community,350,0,48
2021-06-15,performing-arts,696,0,54
2021-06-15,performing-arts,355,0,48
2021-06-15,performing-arts,843,0,56
2021-06-15,performing-arts,742,0,55
2021-06-15,community,1000,543600,56
2021-06-15,performing-arts,467,0,51
2021-06-15,performing-arts,1000,0,57
2021-06-15,performing-arts,666,0,54
2021-06-15,expos,1000,550800,56
2021-06-15,performing-arts,1000,0,58
2021-06-15,performing-arts,1000,0,57
2021-06-15,performing-arts,647,0,53
2021-06-15,community,350,0,48
2021-06-15,concerts,1789,0,61
2021-06-16,performing-arts,742,0,55
2021-06-16,performing-arts,432,0,50
2021-06-16,performing-arts,904,0,56
2021-06-16,performing-arts,647,0,53
2021-06-16,community,350,0,48
2021-06-16,performing-arts,458,0,50
2021-06-16,performing-arts,1000,0,57
2021-06-16,expos,1000,550800,56
2021-06-16,performing-arts,355,0,48
2021-06-16,performing-arts,666,0,54
2021-06-16,performing-arts,843,0,56
2021-06-16,performing-arts,1000,0,57
2021-06-16,community,1000,543600,56
2021-06-16,expos,1000,118800,56
2021-06-16,performing-arts,467,0,51
2021-06-16,performing-arts,355,0,48
2021-06-16,performing-arts,843,0,56
2021-06-16,performing-arts,480,0,51
2021-06-16,performing-arts,696,0,54
2021-06-16,performing-arts,1000,0,58
2021-06-17,performing-arts,742,0,55
2021-06-17,performing-arts,1000,0,57
2021-06-17,performing-arts,467,0,51
2021-06-17,performing-arts,480,0,51
2021-06-17,performing-arts,666,0,54
2021-06-17,performing-arts,843,0,56
2021-06-17,performing-arts,647,0,53
2021-06-17,performing-arts,843,0,56
2021-06-17,sports,6500,0,72
2021-06-17,performing-arts,355,0,48
2021-06-17,performing-arts,1000,0,56
2021-06-17,community,350,0,48
2021-06-17,performing-arts,432,0,50
2021-06-17,concerts,500,0,51
2021-06-17,expos,1000,550800,56
2021-06-17,performing-arts,1000,0,58
2021-06-17,performing-arts,1000,0,57
2021-06-17,community,1000,543600,56
2021-06-18,community,1000,543600,56
2021-06-18,performing-arts,742,0,55
2021-06-18,concerts,600,0,51
